"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"25500","Harrisonburg, VA",".",".","34","8","0.06","0.06","2","1","0","16","6.9","32","15","."
"25540","Hartford-West Hartford-East Hartford, CT","1.2","0.9","35","13","0.11","0.074",".",".",".","17","6.4","46","13","."
"25620","Hattiesburg, MS",".",".",".",".",".",".",".",".",".","21","9.1",".",".","."
"25660","Havre, MT",".",".",".",".",".",".",".",".",".","13","4",".",".","."
"25740","Helena, MT","0.4","0.4",".",".","0.07","0.067",".",".",".","30","9",".",".","."
"25840","Hermiston-Pendleton, OR",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"25860","Hickory-Lenoir-Morganton, NC",".",".",".",".","0.07","0.063",".",".",".","18","7.8",".",".","."
"25900","Hilo, HI",".",".",".",".",".",".","93","44","2","12","3.1",".",".","."
"26020","Hobbs, NM",".",".","38","6","0.09","0.072",".",".",".","17","6.4",".",".","."
"26090","Holland, MI",".",".",".",".","0.08","0.074",".",".",".","17","8.2",".",".","."
"26300","Hot Springs, AR",".",".",".",".",".",".",".",".",".","17","8.7",".",".","."
"26380","Houma-Thibodaux, LA",".",".",".",".","0.07","0.06",".",".",".","16","8",".",".","."
"26420","Houston-The Woodlands-Sugar Land, TX","5.3","3.8","58","17","0.13","0.097","8","2","0","29","13.2","69","34","."
"26580","Huntington-Ashland, WV-KY-OH",".",".","27","6","0.08","0.065","6","3","1","15","7.4","33","16","."
"26620","Huntsville, AL",".",".",".",".","0.07","0.062",".",".",".","15","7.3","68","17","."
"26820","Idaho Falls, ID",".",".",".",".","0.07","0.065",".",".",".",".",".",".",".","."
"26860","Indiana, PA",".",".",".",".",".",".",".",".",".","14","6.1",".",".","."
"26900","Indianapolis-Carmel-Anderson, IN","2","1.5","40","11","0.08","0.067","2","1","0","26","11.3","100","31","."
"26960","Ionia, MI",".",".",".",".",".",".",".",".",".",".",".",".",".","0.02"
"26980","Iowa City, IA",".",".",".",".",".",".",".",".",".","17","7.4",".",".","."
"27060","Ithaca, NY",".",".",".",".","0.07","0.057",".",".",".",".",".",".",".","."
"27140","Jackson, MS","1","0.9",".",".","0.08","0.064","3","2","1","21","8.9","76","18","."
"27180","Jackson, TN",".",".",".",".",".",".",".",".",".","15","6.5",".",".","."
"27220","Jackson, WY-ID","0.4","0.4","22","1","0.07","0.065",".",".",".","12","2.8","73","13","."
"27260","Jacksonville, FL","1.8","1.3","43","11","0.08","0.067","45","16","2","17","7.7","44","18","."
"27460","Jamestown-Dunkirk-Fredonia, NY",".",".",".",".","0.08","0.065",".",".",".","12","5.5",".",".","."
"27500","Janesville-Beloit, WI",".",".",".",".","0.08","0.063",".",".",".",".",".",".",".","."
"27540","Jasper, IN",".",".",".",".",".",".",".",".",".","16","7.6","36","16","."
"27620","Jefferson City, MO",".",".",".",".","0.06","0.057",".",".",".",".",".",".",".","."
"27780","Johnstown, PA","1.2","1","28","5","0.07","0.061","11","4","1","16","7.1","37","12","."
"27900","Joplin, MO",".",".",".",".","0.07","0.065",".",".",".",".",".","105","25","."
